Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
2.64393830234378,2.5054485848135712,1.9990055934947042,2.0560638192438807,2.2743353215382194,2.1007163056260505,1.9030070230622909,2.036584340590883,2.054013455774949,2.1214717959547715,2.047964399499395,2.1626894599655966,2.190943437851622,2.1915443452730683,2.526193083779327,2.283484830774721,2.3835404843238948,2.3172056514204127,1.809778042128559,1.9036514858781055,2.253753531639303,1.970984538746932,2.41551474210225,1.9409961772213176,2.082729136646685,2.1377250009712276,1.8872977789000285,1.9973253295846505,2.362309270692236,2.4428608618128367,2.0791586122382957,2.235769368332662
1.7983902969619414,2.1725017914926847,1.9276230668589776,2.0156279267780595,2.0420998940161126,2.1594655599527766,1.959420028532222,2.0918176272636826,1.6315644255074933,2.1294201149810967,1.7960319499568833,2.0164767162842976,1.9869647377624235,2.16681092626385,2.568532471330274,2.7607674705044745,2.703595467393704,2.2948247601559957,2.16098878296004,2.038072132595957,2.061620461460514,1.9724490976947777,2.073905728513076,2.205630570051051,2.4414798069137214,2.0663338287195616,1.8922567913789938,2.2713145612339694,1.8217020361951124,1.660217631360103,2.0324433021114814,2.0022432560472225
2.278035536638402,2.1986166777310276,1.8093539326664212,1.9942831320733587,2.5985726407025345,1.721325255662637,1.8232704434472777,2.859721154450263,2.707144394577155,2.128613073731771,2.0703414719169784,2.2540398125637138,1.9653457868598807,1.8578845795569294,2.3479914487636107,2.082869015501614,2.237308828739257,2.0042756066579956,1.983009748846694,1.777944462323548,2.0223629465041886,2.188358591359896,2.093095338563662,2.0979396199907976,2.455807631115797,2.7200171629491394,1.9845808956480193,2.3052603905738995,2.2400563748195945,2.136582158566485,2.119196554549236,2.533609590405728
2.299716256898579,2.084861360751952,1.9509380432295642,1.9636739907862548,2.1578361883761605,1.787423422882131,1.9683432094960756,2.23792635287377,2.1061215738287458,2.222078588332569,1.831999032951368,2.0075088047085177,2.091910687278272,2.254945966311861,2.5250425294042707,2.4814751998057525,2.441718606993528,2.0595804103346547,2.3067156693891775,2.1598140551956244,2.240527419394976,2.3481936648514985,2.4618702972052082,1.9986693007116516,2.1741726543937427,2.1890676765289805,1.4441348735336181,1.7770415519215956,1.9481197850632048,1.915864228950278,2.204653564510053,2.149863874557374
2.2121304305621887,2.0651180726146645,1.779770047553096,1.5641453546321027,1.756942102058794,2.484189532033799,1.655270740226365,2.5464210968965877,2.0484051163356227,1.9544523244974876,1.944790722610707,1.8933276842746123,1.8640658942244572,2.2531204492536774,2.755544974491649,2.617232634627667,2.651378789732634,2.7565241672459915,2.291235517099025,1.9306190079620684,2.033335203369844,2.1883666777668402,2.385092738219202,2.0426095631563213,2.6705314753265506,2.439460286398762,2.4016520476421257,2.2132717466461247,1.8342150053469046,1.8125497930026517,1.8137686062831226,2.4651531488768206
2.0252358258899266,2.363828184580034,1.9345373454676396,2.118806622714595,2.2742009418326012,2.1845815309893997,1.9504282202762349,1.847730683121461,2.2547716001649434,2.036681067652653,2.0040385650106614,2.044604936760723,2.3333176919498633,1.9930912218305306,2.1478677364122976,2.318229306321176,2.2758275088103948,2.180326232486377,1.7889839005958084,1.8328584205427074,1.738828702484959,2.61624627167323,2.468600074484817,2.0184690240110563,1.9972974427663404,2.562255982144228,2.016354910515689,2.099166135134732,2.1518329587430256,1.970171839858025,2.3618494541243957,2.83338205641384
2.2488349397778005,2.2557335515890724,1.6382343839652789,2.126233111786631,2.3334733525906715,2.267658360371367,1.7804353063082694,2.167868344134422,1.9699501220089057,2.29943515907323,2.110191217118736,2.3252074261063314,1.8082256169261157,2.312076418742466,2.6355162092362736,2.8464367650589537,2.8048744531223386,2.099351008343765,2.2245430030570463,1.9758109937406456,2.2828595326313526,1.9138585182278267,1.9608829405628134,2.172905371199972,2.5825508572446454,2.30854772200299,2.0143946168799047,2.372237497952127,2.1848306896321446,2.2771344021107285,2.280833999025818,2.171869344655582
2.270941655446905,2.364798454758441,2.023501437928351,2.336506229492767,2.3022885860003663,2.2098960015026177,2.4519421733439772,2.4027139730748783,2.231396424464428,2.089494640411063,1.9960662287272368,2.1900909826333543,2.287169274733661,2.168047877420765,2.5683514136390406,2.535135152146464,2.493809436692902,2.2042238286387406,2.4452342662060618,2.0162075555151553,2.2659663164649007,2.503929526549932,2.188792871218488,2.163062797745102,2.1281822904280787,2.3739515829524587,2.1198820431122822,2.241983894416157,2.38015156801236,2.4150637158783566,2.3696524022170036,2.5027960478829763
2.02551332049368,1.9522298881976528,1.4398571780707503,2.0510307681501256,2.195041738622698,2.118913688262657,1.8796599840011645,2.013454750374038,2.371038272541295,1.984499184479064,1.702386918148039,2.144311710617805,1.8024195742829294,2.0165413431802444,2.2040950487294277,2.2122183626540592,2.214992643191972,1.9779223157927717,1.982654727593751,2.0471962544987092,1.8168223419242713,2.05879539189326,2.193862421826519,1.9217479502285966,2.074885145559565,2.1009447588670502,2.137772175416413,1.768028080395747,2.2531966780099024,2.1898279352876675,2.15846193421237,2.169058260537886
2.3219926212747914,2.1663718787403123,2.0687413125583705,1.9121036540404797,2.3774502940368296,2.335189156843626,2.2868103924896066,2.133060561963234,2.029688032033002,2.240406608378935,1.8264264038637605,2.1752499498964992,1.9948916436962105,2.2782843197861586,2.275680650668574,2.104531220198601,2.150405393926545,2.552688493341225,2.2925176477953633,1.7860684381529162,1.865077571189215,1.8730334017806975,1.9057374410782058,1.8037728638540722,2.352700406866198,2.2545541379333582,2.0549609676927294,2.5487519358503716,2.1859951643630744,2.1850307654900782,2.1058958875836407,2.33056215610361
